Review ID,Review Created (UTC),Review Consumer User ID,Review Title,Review Content,Review Stars,Source Of Review,Review Language,Domain URL,Webshop Name,Business Unit ID,Tags,Company Reply Date (UTC),Location Name,Location ID
ca6a38095a69472bae13d44a49728662,10/01/24 16:11,92576b65cd734fb9a5d3bd253646c3d8,Worst Appointment Ever,Doctor specialized in cardiology and provided detailed advice for my condition.,1,WebPortal,fr,http://www.fakehealthcare.com,FakeHealthCare,602225b2db7149cdb2c95e978bbf6a11,feedback,02/11/25 08:55,New York Clinic,f9b91c2d-71dd-497b-a217-aa4c0c22b4f2
7bfb8c63326a48b39d6f4a64b72c576a,01/30/25 14:16,3cb780c5a3414b76992cb9001b74d58b,Confusing Billing Process,Prices for the consultation were too high compared to other clinics.,5,MobileApp,fr,http://www.fakehealthcare.com,FakeHealthCare,d0f7555db5864c009ee04bfab9ccdbd0,urgent,08/30/24 15:46,New York Clinic,49925a85-96b6-4294-9072-02b22c2540e9
026efa5ac6734087af9840c2611693b7,12/20/24 10:52,cbcb5ded95e145f28ad99571077931ea,Loved the Waiting Room Music,Doctor specialized in cardiology and provided detailed advice for my condition.,1,WebPortal,fr,http://www.fakehealthcare.com,FakeHealthCare,5631d575afa1410eb5fa454e71fdff00,urgent,04/19/25 19:37,Dallas Care,342d235e-5be9-4d98-9097-11b529eab04e
c613759220084bfebb3ee62d45669c37,02/29/24 23:39,82b21d7213e745a1a4a8ab2fb797e137,Free Ice Cream After Surgery,"Communication was clear and timely, received all updates via SMS and email.",5,MobileApp,es,http://www.fakehealthcare.com,FakeHealthCare,cf2a407c549147e39a121cd4a50d11d7,billing,03/15/24 09:48,Chicago Health Hub,39a61d63-1232-4cdb-bd9e-2834bf94f980
e35ac3f6c6b1423a896931ea25c6f813,05/04/25 15:31,116cc667bdb8492b9d724cd98afd5a12,Unexpected Robot Nurse Encounter,"Treatment quality was exceptional, the doctor explained every step clearly.",1,AFSv2,fr,http://www.fakehealthcare.com,FakeHealthCare,4380178ce59b447d82e241ade8910c90,billing,12/24/24 15:10,Los Angeles Center,20255956-3064-4560-bace-389982b4c1c3
c073c612932b46e7a451e4c4cf6a7a5f,05/22/24 00:19,f1224cbd6d0c416aa59563a1c58cf7c4,Free Ice Cream After Surgery,"Treatment quality was exceptional, the doctor explained every step clearly.",4,AFSv2,en,http://www.fakehealthcare.com,FakeHealthCare,0d2463add8fd4a0daf252757405111bc,urgent,03/31/24 15:45,New York Clinic,cc69cd3b-340a-4501-94b4-ab256c15aff9
aafe00c55961482295d90c71d363af3e,10/09/24 19:16,2114800495904b0b89b14b2db28d006b,Friendly Staff and Quick Service,"Treatment quality was exceptional, the doctor explained every step clearly.",3,MobileApp,fr,http://www.fakehealthcare.com,FakeHealthCare,e5f89c20267b494197566b14852859b3,billing,10/14/24 18:40,New York Clinic,48564230-6388-4237-bf51-441ddcb516b7
4b9fe55b3adc419f98eb855ec6f69906,08/21/25 18:43,c001ef9f078443a08a1cb0969a01e972,Friendly Staff and Quick Service,Doctor specialized in cardiology and provided detailed advice for my condition.,4,MobileApp,en,http://www.fakehealthcare.com,FakeHealthCare,dbc4420d0b304a0a9a0ef80f8210ea2f,praise,09/23/25 12:10,Los Angeles Center,486f9234-5ad0-4e2b-b085-eb3afdfa7108
64bb7a3b14d24857823faecc2f65fe89,09/25/25 04:18,b93fe26311ec4d5d83910e88cc56c1bb,Friendly Staff and Quick Service,"Treatment quality was exceptional, the doctor explained every step clearly.",4,WebPortal,en,http://www.fakehealthcare.com,FakeHealthCare,507da3859a5840f081b33bbad72e924a,routine,05/26/25 04:21,New York Clinic,f8faa1d0-86e0-40d1-b17a-b1d615706578
bfe8e9ef148d4df5b24e7492ee811a64,03/21/25 16:06,567786e62dc243159442bf4b0b742e91,Friendly Staff and Quick Service,Prices for the consultation were too high compared to other clinics.,3,MobileApp,en,http://www.fakehealthcare.com,FakeHealthCare,e194ef38e5974ee194ab192c00c33298,urgent,09/24/25 14:18,New York Clinic,b75ea3f6-c446-44ce-a480-16ca120deebb
